#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"chrome","1","1195","2255657345024","97378304","31875072","45680","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","4.21875","102.0.5005.63","102.0.5005.63","Google Chrome","Google Chrome","Process","8",,"False",,"1652","Microsoft.Win32.SafeHandles.SafeProcessHandle","1195","2176",".","1508318","Welcome to Chrome - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","45680","45680","31875072","31875072","1064272","1064272","44244992","44244992","107835392","107835392","915918848","2255773749248","True","Normal","31875072","31875072","00:00:01.9218750","chrome","1","True","1","System.Diagnostics.ProcessStartInfo","6/4/2022 6:57:19 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.2187500","00:00:02.2968750","799514624","2255657345024","False",,,,"97378304","97378304",,
"chrome","1","240","2255246610432","16855040","7229440","14480","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.125","102.0.5005.63","102.0.5005.63","Google Chrome","Google Chrome","Process","8",,"False",,"5812","Microsoft.Win32.SafeHandles.SafeProcessHandle","240","2568",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14480","14480","7229440","7229440","591576","591576","7356416","7356416","16912384","16912384","413945856","2255271776256","True","Normal","7229440","7229440","00:00:00.0937500","chrome","1","True","1","System.Diagnostics.ProcessStartInfo","6/4/2022 6:57:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0312500","388780032","2255246610432","False",,,,"16855040","16855040",,
"chrome","1","313","2255327854592","28704768","9605120","18536","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","5.75","102.0.5005.63","102.0.5005.63","Google Chrome","Google Chrome","Process","8",,"False",,"5236","Microsoft.Win32.SafeHandles.SafeProcessHandle","313","4588",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18536","18536","9605120","9605120","638720","638720","12169216","12169216","32866304","32866304","509669376","2255367499776","True","Normal","9605120","9605120","00:00:03.3125000","chrome","1","True","1","System.Diagnostics.ProcessStartInfo","6/4/2022 6:57:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.7500000","00:00:02.4375000","470024192","2255327854592","False",,,,"28704768","28704768",,
"chrome","1","418","2264012902400","70639616","26071040","19576","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.640625","102.0.5005.63","102.0.5005.63","Google Chrome","Google Chrome","Process","4",,"False",,"6068","Microsoft.Win32.SafeHandles.SafeProcessHandle","418","4744",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19576","19576","26071040","26071040","545880","545880","29802496","29802496","78123008","78123008","644943872","2264092708864","True","Idle","26071040","26071040","00:00:00.1093750","chrome","1","True","1","System.Diagnostics.ProcessStartInfo","6/4/2022 6:57:21 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6406250","00:00:00.5312500","565137408","2264012902400","False",,,,"70639616","70639616",,
"chrome","1","313","2255393505280","39538688","104726528","21752","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","6.765625","102.0.5005.63","102.0.5005.63","Google Chrome","Google Chrome","Process","10",,"False",,"5596","Microsoft.Win32.SafeHandles.SafeProcessHandle","313","4824",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21752","21752","104726528","104726528","639856","639856","110772224","110772224","49434624","49434624","560562176","2255418392576","True","AboveNormal","104726528","104726528","00:00:01.2968750","chrome","1","True","1","System.Diagnostics.ProcessStartInfo","6/4/2022 6:57:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.7656250","00:00:05.4687500","535674880","2255393505280","False",,,,"39538688","39538688",,
"chrome","1","144","2237842067456","7282688","2088960","9920","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.09375","102.0.5005.63","102.0.5005.63","Google Chrome","Google Chrome","Process","8",,"False",,"5140","Microsoft.Win32.SafeHandles.SafeProcessHandle","144","5044",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9920","9920","2088960","2088960","124856","124856","2117632","2117632","7299072","7299072","172494848","2237850456064","True","Normal","2088960","2088960","00:00:00.0937500","chrome","1","True","1","System.Diagnostics.ProcessStartInfo","6/4/2022 6:57:19 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00","164106240","2237842067456","False",,,,"7282688","7282688",,
#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"chrome","1","1193","2255665725440","123813888","58888192","45680","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","5.703125","102.0.5005.63","102.0.5005.63","Google Chrome","Google Chrome","Process","8",,"False",,"6184","Microsoft.Win32.SafeHandles.SafeProcessHandle","1193","2176",".","1508318","Welcome to Chrome - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","45680","45680","58888192","58888192","1065968","1065968","104820736","104820736","169316352","169316352","915918848","2255773749248","True","Normal","58888192","58888192","00:00:01.9687500","chrome","1","True","1","System.Diagnostics.ProcessStartInfo","6/4/2022 6:57:19 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.7031250","00:00:03.7343750","807895040","2255665725440","False",,,,"123813888","123813888",,
